sample,model,cond,lam,estimator,est,lo,hi,p,n,I2,p_holm
qc,knee_plateau,eo,1.0,wls,-0.0024406198415966637,-0.019010108092265256,0.01412886840907193,0.7728148549230179,1836,,
qc,knee_plateau,eo,1.0,covar,-0.004731987192323708,-0.024472431260526232,0.015008456875878814,0.6384811251958229,1836,,
qc,knee_plateau,eo,1.0,release_re,-0.008490629047793019,-0.033822813527292744,0.016841555431706703,0.4723722022824861,1836,0.2715093115483369,
qc,knee_plateau,eo,1.0,age5_16,-0.015783039553639255,-0.03946342647688167,0.00789734736960316,0.19144338462861932,1836,,
qc,knee_plateau,eo,1.0,quad,-0.009682039804736553,-0.032858815122941684,0.01349473551346858,0.41291762586682834,1836,,
qc,knee_plateau,eo,1.0,"ln(tot/b), all",-0.011918230162766632,-0.0197009196757666,-0.004135540649766665,0.0026870300883681613,2396,,
qc,knee_plateau,eo,0.0,"linear a, Theil-Sen, %/y",-0.13809641694614808,-0.16776832441933096,-0.10972248133989941,,2396,,
all,fixed,ec,0.0,ols,-0.04631801986139147,-0.06685281138032646,-0.025783228342456468,9.83041498203317e-06,2695,,3.932165992813268e-05
all,fixed,ec,0.0,boot,-0.04631801986139147,-0.06646034318346963,-0.026294357904676265,,2695,,
all,fixed,ec,0.0,huber,-0.05564801221839759,-0.07126775185780311,-0.040028272578992066,2.8954133573933205e-12,2695,,
all,fixed,ec,0.0,theilsen,-0.046945700341712915,-0.06290846085575603,-0.03069858881513649,,2695,,
all,fixed,ec,0.0,skipped,-0.08072901043506829,-0.12137091833553731,-0.040169750553020266,7.595323024155074e-05,2695,,
all,fixed,ec,0.0,wls,-0.05202613187903454,-0.07089996891647157,-0.03315229484159751,6.565169005636308e-08,2695,,
all,fixed,ec,0.0,covar,-0.024161078050729812,-0.04708385620622456,-0.0012382998952350614,0.03884338053230235,2695,,
all,fixed,ec,0.0,release_re,-0.057008736207918555,-0.08829515465985346,-0.02572231775598364,0.0022864993444776755,2695,0.42532062443069296,
all,fixed,ec,0.0,age5_16,-0.028579187055949692,-0.05552476902131028,-0.001633605090589102,0.037636755379382957,2695,,
all,fixed,ec,0.0,quad,-0.020308785357975555,-0.04883777120823225,0.008220200492281147,0.16294658880520585,2695,,
all,fixed,ec,1.0,ols,0.059479859853897976,0.0436855409765579,0.07527417873123805,1.5706649474574434e-13,2695,,9.42398968474466e-13
all,fixed,ec,1.0,boot,0.059479859853897976,0.04412523597618004,0.07530951104322264,,2695,,
all,fixed,ec,1.0,huber,0.057048530240486256,0.04516577432429429,0.06893128615667822,4.975962977533884e-21,2695,,
all,fixed,ec,1.0,theilsen,0.06624674540507812,0.05448420408629514,0.07818834935941721,,2695,,
all,fixed,ec,1.0,skipped,0.2835786260644723,0.25072988510082506,0.3188813150719793,2.744416313787538e-44,2695,,
all,fixed,ec,1.0,wls,0.0525102284186467,0.038868966921125,0.0661514899161684,4.5360252297819864e-14,2695,,
all,fixed,ec,1.0,covar,0.07816691752276558,0.06081819485099214,0.09551564019453904,1.0386312137816702e-18,2695,,
all,fixed,ec,1.0,release_re,0.05484354166108257,0.0339391484225284,0.07574793489963674,0.00016257190272164738,2695,0.3197573074286168,
all,fixed,ec,1.0,age5_16,0.08201624874792915,0.061747142481405295,0.102285355014453,2.1785409771586503e-15,2695,,
all,fixed,ec,1.0,quad,0.0914045494148677,0.0701597209877736,0.1126493778419618,3.3800276689694245e-17,2695,,
all,fixed,ec,1.0,"ln(tot/b), all",0.04768020018022664,0.03783377235267239,0.05752662800778088,2.2904508957249266e-21,2798,,
all,fixed,ec,0.0,"linear a, Theil-Sen, %/y",-0.02274586855002042,-0.03474817336312457,-0.011424905425476282,,2798,,
all,fixed,eo,0.0,ols,-0.11619550760737572,-0.13824230150244032,-0.09414871371231112,5.16672600104749e-25,2354,,4.133380800837992e-24
all,fixed,eo,0.0,boot,-0.11619550760737572,-0.13762219133428286,-0.09455892909791921,,2354,,
all,fixed,eo,0.0,huber,-0.11820720027893666,-0.13650679402289884,-0.09990760653497449,9.788429996874884e-37,2354,,
all,fixed,eo,0.0,theilsen,-0.12168550635938288,-0.14050342116040224,-0.1028828623415806,,2354,,
all,fixed,eo,0.0,skipped,-0.2545546690776241,-0.29131657948543177,-0.21189500019751256,5.145618190221752e-33,2354,,
all,fixed,eo,0.0,wls,-0.11458847065465556,-0.13282259169740987,-0.09635434961190127,7.339297114012168e-35,2354,,
all,fixed,eo,0.0,covar,-0.1133069913771008,-0.13576981744216085,-0.09084416531204076,4.76627594636837e-23,2354,,
all,fixed,eo,0.0,release_re,-0.12194646631476123,-0.15488873375593154,-0.08900419887359091,9.001487056548588e-06,2354,0.4049006159888157,
all,fixed,eo,0.0,age5_16,-0.1282443953656797,-0.1584586386315132,-0.0980301520998462,8.865639403071468e-17,2354,,
all,fixed,eo,0.0,quad,-0.13357749429162377,-0.16596304823721308,-0.10119194034603446,6.264046070346107e-16,2354,,
all,fixed,eo,1.0,ols,0.012460436255379546,-0.004443401526060355,0.029364274036819446,0.14852501726508657,2354,,0.29705003453017315
all,fixed,eo,1.0,boot,0.012460436255379546,-0.0037995595638962154,0.030032072757052494,,2354,,
all,fixed,eo,1.0,huber,0.010121319593841362,-0.005415873957242721,0.025658513144925444,0.20168347645163132,2354,,
all,fixed,eo,1.0,theilsen,0.015986565054051854,-2.806587969922094e-05,0.032040661678764834,,2354,,
all,fixed,eo,1.0,skipped,0.06728583205627367,0.022807492601338554,0.11081555115824467,0.0017118641950226857,2354,,
all,fixed,eo,1.0,wls,0.013886100407172072,-0.0006244570749092161,0.02839665788925336,0.06070781089083048,2354,,
all,fixed,eo,1.0,covar,0.023958896227936392,0.007291482500772727,0.040626309955100054,0.004841597679646148,2354,,
all,fixed,eo,1.0,release_re,0.010333875674345457,-0.019476241478483258,0.04014399282717417,0.4577444093336646,2354,0.5583727711722672,
all,fixed,eo,1.0,age5_16,0.02159661179363898,-0.0011586421134947462,0.04435186570077271,0.06286184696517841,2354,,
all,fixed,eo,1.0,quad,0.026415276515697333,0.00414476593062665,0.04868578710076801,0.02008624221299679,2354,,
all,fixed,eo,1.0,"ln(tot/b), all",0.003207385875306917,-0.007571542181988224,0.013986313932602058,0.559753053685085,2798,,
all,fixed,eo,0.0,"linear a, Theil-Sen, %/y",-0.08163051989325673,-0.10202115689697401,-0.06231421868821654,,2798,,
all,knee_plateau,ec,0.0,ols,-0.03883966837765497,-0.06071972169521247,-0.016959615060097473,0.0005029757499750432,2559,,0.0015089272499251298
all,knee_plateau,ec,0.0,boot,-0.03883966837765497,-0.061618572019255705,-0.018335788414227595,,2559,,
all,knee_plateau,ec,0.0,huber,-0.04545106537939294,-0.06155914048300009,-0.02934299027578579,3.1968772609346026e-08,2559,,
